Station Name,Climate ID
,
SPARWOOD CS,1157631.0
FERNIE,1152850.0
KIMBERLEY PCC,1154203.0
FT STEELE DANDY CRK,1153034.0
KOOTENAY NP WEST GATE,1154410.0
CRESTON CAMPBELL SCIENTIFIC,114B1F0
NELSON RIXEN CREEK,114EMDM
NELSON CS,1145M29
NEW DENVER,1145460
DUNCAN LAKE DAM,1142574
NELSON NE,1145442
CASTLEGAR BCHPA DAM,1141457
CASTLEGAR A,1141455
NAKUSP CS,1145297
BILLINGS,1140876
MIDWAY,1135126
OSOYOOS CS,1125852
OLIVER STP,1125766
PRINCETON CS,112FN0M
PRINCETON A,1126510
SUMMERLAND CS,112G8L1
JELLICOE,1123721
HOPE SLIDE,1113581
SUMAS CANAL,1107785
AGASSIZ CDA,1100120
AGASSIZ RCS,1100119
PITT MEADOWS CS,1106178
HANEY UBC RF ADMIN,1103332
MISSION WEST ABBEY,1105192
PORT MOODY GLENAYRE,1106CL2
BURNABY SIMON FRASER U,1101158
WHITE ROCK CAMPBELL SCIENTIFIC,1108910
CLOVERDALE EAST,1101708
RICHMOND NATURE PARK,1106PF7
RICHMOND DALLYN 2,1106764
DELTA TSAWWASSEN BEACH,1102425
WEST VANCOUVER AUT,1108824
VANCOUVER HARBOUR CS,1108446
POINT ATKINSON,1106200
N VANCOUVER WHARVES,1105669
N VANC GROUSE MTN RESORT,1105658
HOWE SOUND - PAM ROCKS,10459NN
BOWEN ISLAND SUNSET PARK,104091B
SAANICHTON CDA,1016940
SAANICHTON MT NEWTON,1016RM0
VICTORIA UNIVERSITY CS,1018598
SALTSPRING ST MARY'S L,1016995
SATURNA CAPMON CS,1017099
NORTH PENDER ISLAND,1015638
MALAHAT,1014820
VICTORIA GONZALES CS,1018611
METCHOSIN,1015105
SHERINGHAM POINT,1017254
ESQUIMALT HARBOUR,1012710
DISCOVERY ISLAND,1012475
SHAWNIGAN LAKE,1017230
PORT RENFREW,1016335
NORTH COWICHAN,1015628
CHEMAINUS,1011500
LAKE COWICHAN,1012055
NITINAT RIVER HATCHERY,1035612
ENTRANCE ISLAND,102BFHH
NANAIMO CITY YARD,10253G0
ENTRANCE ISLAND,1022689
BALLENAS ISLAND,1020590
LITTLE QUALICUM HATCHERY,1024638
QUALICUM R FISH RESEARCH,1026565
PORT ALBERNI (AUT),1036B06
UCLUELET KENNEDY CAMP,1038332
LENNARD ISLAND,1034600
ALBERNI ROBERTSON CREEK,1030230
PACHENA POINT,1035940
CAPE BEALE LIGHT,1031316
TOFINO A,1038205
ESTEVAN POINT CS,1032731
ESTEVAN POINT,1032730
TAHSIS VILLAGE NORTH,1037899
QUINSAM RIVER HATCHERY,1026639
HERIOT BAY SE,1023462
CAPE MUDGE,1021330
CAMPBELL RIVER A,1021261
NOOTKA LIGHTSTATION,1035614
CHATHAM POINT,1021480
SOLANDER ISLAND (AUT),1037553
COMOX A,1021830.0
COURTENAY PUNTLEDGE,1021989.0
POWELL RIVER A,1046391.0
SISTERS ISLAND,1027403.0
PENDER HARBOUR,1046115.0
MERRY ISLAND LIGHTSTATION,1045100.0
GIBSONS GOWER POINT,1043152.0
SQUAMISH AIRPORT,10476.0
PEMBERTON AIRPORT CS,1086082.0
WHISTLER ROUNDHOUSE,1108906.0
WHISTLER,1048898.0
LILLOOET,1114619.0
PEACHLAND,1126070
KAMLOOPS PRATT ROAD,116C8P0
SUN PEAKS UPPER,116QK0M
SUN PEAKS LOWER,116Q20D
SUN PEAKS MOUNTAIN,1168204
VAVENBY,1168520
BLUE RIVER CS,1160H99
BLUE RIVER A,1160899
OKANAGAN CENTRE,1125700.0
VERNON SILVER STAR LODGE,1128584
MICA DAM,1175122
SALMON ARM CS,116FRMN
MCLEESE LAKE GRANITE MT,1095018
SPOKIN LAKE 4E,1097646
100 MILE HOUSE 6NE,1165793
BARKERVILLE,1090660
PUNTZI MOUNTAIN (AUT),1086558
QUATSINO LIGHTSTATION,1036572.0
QUATSINO,1036570.0
SARTINE ISLAND (AUT),1037090.0
HERBERT ISLAND (AUT),1063461.0
IVORY ISLAND,1063690
EGG ISLAND,1062646
DRYAD POINT,1062544
BOAT BLUFF,1060901
ADDENBROKE ISLAND,1060080
CATHEDRAL POINT (AUT),1061458
PRINCE RUPERT MONT CIRC,1066488
TRIPLE ISLAND,1068250
LUCY ISLAND LIGHTSTATION,1064728
GREEN ISLAND,1063298
GREY ISLET (AUT),1063303
BONILLA ISLAND,1060902
BONILLA ISLAND (AUT),1060R0K
ROSE SPIT (AUT),1056869
KINDAKUN ROCKS (AUT),1054222
CUMSHEWA ISLAND,1062251
CAPE ST JAMES,1051351
KITIMAT HATCHERY,1.06e+291
KITIMAT 2,1064321
KITIMAT TOWNSITE,1064320
TERRACE PCC,1068131
MCINNES ISLAND,1065010
KEMANO,1064020
SUSKWA VALLEY,107G879
DEASE LAKE (AUT),119BLM0
BURNS LAKE DECKER LAKE,1091174.0
HOUSTON,1073615.0
PRINCE GEORGE STP,1096468
CHETWYND A,1181508
PLEASANT CAMP,1206197
